dataset,seed,cell,patient_idx,success,abstain_stage,latency_sec,n_candidates_tried,path_len,decoded_cvr_hop,decoded_cvr_endpoint,kde,effort,terminal_risk
uci,1,old_latent_pruning,40,True,,0.002332666888833046,,2.0,True,True,-7.817847131274585,0.20733363926410675,
uci,1,old_latent_pruning,42,False,,0.0023725000210106373,,,,,,,
uci,1,old_latent_pruning,45,True,,0.0021665000822395086,,2.0,True,True,-7.9259200078463525,0.18626239895820618,
uci,1,old_latent_pruning,52,False,,0.0020638330606743693,,,,,,,
uci,1,old_latent_pruning,54,False,,0.0021777079673483968,,,,,,,
uci,1,old_latent_pruning,55,True,,0.0020824590465053916,,2.0,True,True,-7.939086130250632,0.13078425824642181,
uci,1,old_latent_pruning,56,True,,0.0020778749603778124,,2.0,False,False,-7.806333517048719,0.06858506798744202,
uci,1,old_latent_pruning,59,True,,0.002176624955609441,,2.0,False,False,-7.6594761562770515,0.0704268142580986,
uci,2,egd_riemannian,4,True,,0.004852707963436842,6.0,9.0,False,False,-11.232060624505259,14.786006927490234,0.42421525716781616
uci,2,egd_riemannian,7,True,,0.0035452910233289003,3.0,8.0,False,False,-12.914393040194295,11.581916809082031,0.3991701304912567
uci,2,egd_riemannian,8,True,,0.005318542011082172,8.0,10.0,False,False,-11.515393899015454,17.55879020690918,0.43040353059768677
uci,2,egd_riemannian,13,True,,0.004543374991044402,7.0,9.0,False,False,-8.883626679790611,13.385383605957031,0.44459444284439087
uci,2,egd_riemannian,14,False,risk_check,0.00755433295853436,20.0,,,,,,
uci,2,egd_riemannian,17,False,risk_check,0.006560833076946437,20.0,,,,,,
uci,2,egd_riemannian,25,True,,0.0038589159958064556,8.0,6.0,False,False,-13.67342312761678,12.82373046875,0.3804749548435211
uci,2,egd_riemannian,26,False,risk_check,0.013079416006803513,20.0,,,,,,
uci,2,egd_riemannian,30,False,risk_check,0.010652333032339811,20.0,,,,,,
uci,2,egd_riemannian,32,False,risk_check,0.0066810420248657465,20.0,,,,,,
uci,2,egd_riemannian,35,True,,0.00475279102101922,13.0,8.0,False,False,-11.782199537025667,14.054247856140137,0.369493305683136
uci,2,egd_riemannian,38,True,,0.0033795000053942204,7.0,4.0,False,False,-8.434846562294455,7.071368217468262,0.43325674533843994
uci,2,egd_riemannian,40,True,,0.005265292013064027,3.0,18.0,False,False,-11.924872546586174,25.843013763427734,0.391544908285141
uci,2,egd_riemannian,42,True,,0.007344792014919221,16.0,8.0,False,False,-10.603070193874956,15.284675598144531,0.42527133226394653
uci,2,egd_riemannian,43,True,,0.00397370895370841,3.0,12.0,False,False,-8.974023201266858,18.162689208984375,0.42487189173698425
uci,2,egd_riemannian,45,True,,0.005863750004209578,10.0,9.0,False,False,-10.70193626051582,16.17308807373047,0.4315551221370697
uci,2,egd_riemannian,49,True,,0.004276041057892144,10.0,6.0,False,False,-10.583717301910953,11.178702354431152,0.4192025363445282
uci,2,egd_riemannian,50,True,,0.003042540978640318,1.0,10.0,False,False,-8.076836443096587,13.07839298248291,0.3956665098667145
uci,2,egd_riemannian,51,True,,0.003954791929572821,3.0,12.0,False,False,-10.188862082068889,18.162689208984375,0.3463997542858124
uci,2,egd_riemannian,53,True,,0.0033137910068035126,3.0,7.0,False,False,-8.929127496524607,9.854970932006836,0.43236324191093445
uci,2,egd_riemannian,55,True,,0.004501542076468468,13.0,8.0,False,False,-9.966271653291411,14.054247856140137,0.3707217276096344
uci,2,egd_riemannian,56,True,,0.004473999957554042,13.0,7.0,False,False,-9.588117282055487,12.010242462158203,0.37446731328964233
uci,2,egd_riemannian,59,True,,0.00366379099432379,11.0,5.0,False,False,-9.343627237530404,9.004172325134277,0.43186259269714355
