method,patient_idx,success,latency_sec,real_cvr,kde,effort,dataset,seed
growing_spheres_legacy,21,True,0.00026798248291015625,True,-11.43728151208555,1.2784564956723576,nhanes_real,3
dice_legacy,21,True,0.0007512569427490234,True,-11.102274063018248,1.7724037170410156,nhanes_real,3
growing_spheres_legacy,22,True,0.0002930164337158203,True,-6.657092268423257,1.2750046321137212,nhanes_real,3
dice_legacy,22,True,0.0008749961853027344,True,-6.675011968656777,1.921059489250183,nhanes_real,3
growing_spheres_legacy,24,True,0.00037097930908203125,True,-7.09552251925215,2.206998529710577,nhanes_real,3
dice_legacy,24,True,0.0011699199676513672,True,-7.150583678338954,2.287416934967041,nhanes_real,3
growing_spheres_legacy,4,True,0.0001850128173828125,True,-6.857206245055807,0.3761074184015828,nhanes_real,4
dice_legacy,4,True,0.0006258487701416016,True,-6.741645346369393,1.5067920684814453,nhanes_real,4
growing_spheres_legacy,5,True,0.0006618499755859375,True,-7.86165759967066,3.3144476168427577,nhanes_real,4
dice_legacy,5,False,0.014393091201782227,,,,nhanes_real,4
growing_spheres_legacy,6,True,0.0005502700805664062,True,-10.196618708633231,2.9077228492797467,nhanes_real,4
dice_legacy,6,True,0.0018889904022216797,True,-10.47718151231421,2.8982152938842773,nhanes_real,4
growing_spheres_legacy,7,True,0.0006361007690429688,True,-8.41694175236408,2.418311308364732,nhanes_real,4
dice_legacy,7,True,0.002285003662109375,True,-9.299005383628602,3.158456802368164,nhanes_real,4
growing_spheres_legacy,8,True,0.0003001689910888672,True,-9.094512644129903,1.6705207021255042,nhanes_real,4
dice_legacy,8,True,0.0008802413940429688,True,-9.045116322438204,1.5798790454864502,nhanes_real,4
growing_spheres_legacy,9,True,0.0008630752563476562,True,-10.658778900735236,3.473596463745743,nhanes_real,4
dice_legacy,9,False,0.014504194259643555,,,,nhanes_real,4
growing_spheres_legacy,12,True,0.0005440711975097656,True,-6.879539710218159,3.7366528780812254,nhanes_real,4
dice_legacy,12,False,0.016417980194091797,,,,nhanes_real,4
growing_spheres_legacy,13,True,0.0003249645233154297,True,-9.36013641086354,2.134332643428521,nhanes_real,4
dice_legacy,13,True,0.0008702278137207031,True,-9.3351098457524,2.1335999965667725,nhanes_real,4
growing_spheres_legacy,15,True,0.00020503997802734375,True,-6.068127695564506,0.9206636410996665,nhanes_real,4
dice_legacy,15,True,0.0007538795471191406,True,-6.119692327034954,1.855767846107483,nhanes_real,4
growing_spheres_legacy,16,False,0.0012850761413574219,,,,nhanes_real,4
dice_legacy,16,False,0.014586925506591797,,,,nhanes_real,4
growing_spheres_legacy,17,True,0.0005879402160644531,True,-9.623972461089132,3.1393213139135385,nhanes_real,4
dice_legacy,17,False,0.014695882797241211,,,,nhanes_real,4
growing_spheres_legacy,21,True,0.0003418922424316406,True,-7.212320737253197,2.022063672253955,nhanes_real,4
dice_legacy,21,True,0.0010669231414794922,True,-7.5398156660132045,2.5108425617218018,nhanes_real,4
