dataset,seed,patient_idx,n_valid_targets_exhaustive,certified_infeasible,resolved_by_2k,resolved_by_synth,confirmed_blindspot,unresolved
nhanes_real,1,617,0,True,,,False,False
nhanes_real,1,620,0,True,,,False,False
nhanes_real,1,622,0,True,,,False,False
nhanes_real,1,628,0,True,,,False,False
nhanes_real,1,629,0,True,,,False,False
nhanes_real,1,634,0,True,,,False,False
nhanes_real,1,637,0,True,,,False,False
nhanes_real,1,640,0,True,,,False,False
nhanes_real,1,642,0,True,,,False,False
nhanes_real,1,644,0,True,,,False,False
nhanes_real,1,645,0,True,,,False,False
nhanes_real,1,646,0,True,,,False,False
nhanes_real,1,647,0,True,,,False,False
nhanes_real,1,653,0,True,,,False,False
nhanes_real,1,660,0,True,,,False,False
nhanes_real,1,666,0,True,,,False,False
nhanes_real,1,668,0,True,,,False,False
nhanes_real,1,672,0,True,,,False,False
nhanes_real,1,683,0,True,,,False,False
nhanes_real,1,685,0,True,,,False,False
nhanes_real,1,687,0,True,,,False,False
nhanes_real,1,692,0,True,,,False,False
nhanes_real,1,694,0,True,,,False,False
nhanes_real,1,698,0,True,,,False,False
nhanes_real,1,706,0,True,,,False,False
nhanes_real,1,708,0,True,,,False,False
nhanes_real,1,709,0,True,,,False,False
nhanes_real,1,714,0,True,,,False,False
nhanes_real,1,715,0,True,,,False,False
nhanes_real,1,717,0,True,,,False,False
nhanes_real,1,718,0,True,,,False,False
nhanes_real,1,723,0,True,,,False,False
nhanes_real,1,724,0,True,,,False,False
nhanes_real,1,725,0,True,,,False,False
nhanes_real,1,728,0,True,,,False,False
nhanes_real,1,732,0,True,,,False,False
nhanes_real,1,737,0,True,,,False,False
nhanes_real,1,738,0,True,,,False,False
nhanes_real,1,741,0,True,,,False,False
nhanes_real,1,742,0,True,,,False,False
nhanes_real,1,744,0,True,,,False,False
nhanes_real,1,745,0,True,,,False,False
nhanes_real,1,746,0,True,,,False,False
nhanes_real,1,748,0,True,,,False,False
nhanes_real,1,752,0,True,,,False,False
nhanes_real,1,755,0,True,,,False,False
nhanes_real,1,763,0,True,,,False,False
nhanes_real,1,765,0,True,,,False,False
nhanes_real,1,772,0,True,,,False,False
nhanes_real,1,781,0,True,,,False,False
nhanes_real,1,785,0,True,,,False,False
nhanes_real,1,787,0,True,,,False,False
nhanes_real,1,795,0,True,,,False,False
nhanes_real,1,797,0,True,,,False,False
nhanes_real,1,798,0,True,,,False,False
nhanes_real,1,799,0,True,,,False,False
nhanes_real,1,809,0,True,,,False,False
nhanes_real,1,812,0,True,,,False,False
nhanes_real,1,816,0,True,,,False,False
nhanes_real,1,819,0,True,,,False,False
nhanes_real,1,821,0,True,,,False,False
nhanes_real,1,823,0,True,,,False,False
nhanes_real,1,828,0,True,,,False,False
nhanes_real,1,830,0,True,,,False,False
nhanes_real,1,833,0,True,,,False,False
nhanes_real,1,838,0,True,,,False,False
nhanes_real,1,843,0,True,,,False,False
nhanes_real,1,855,0,True,,,False,False
nhanes_real,1,857,0,True,,,False,False
nhanes_real,1,858,0,True,,,False,False
nhanes_real,1,859,0,True,,,False,False
nhanes_real,1,861,0,True,,,False,False
nhanes_real,1,863,0,True,,,False,False
nhanes_real,1,864,0,True,,,False,False
nhanes_real,1,867,0,True,,,False,False
