patient_idx,success,path_len,path,dijkstra_cost,cvr_events_original,decoded_cvr_hop,decoded_cvr_endpoint,decoded_violation_categories,kde,effort,latency_sec,dataset,seed,metric,constraints,lambda,cell
627,True,1.0,"[3631, 3529]",1.3523520946502685,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.318433452801256,7.3685832023620605,0.013277500052936375,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
630,True,1.0,"[3631, 1225]",0.4780231237411499,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.211606210878868,0.556527316570282,0.012769500026479363,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
633,True,1.0,"[3631, 2503]",1.0788591980934144,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.855005313291924,1.33210027217865,0.012613374972715974,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
635,True,1.0,"[3631, 943]",0.47322261631488804,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.569649201377454,0.6070114970207214,0.012920874985866249,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
638,True,1.0,"[3631, 377]",0.5122493237257004,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.8568832661847585,1.0088591575622559,0.013071625027805567,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
639,True,1.0,"[3631, 612]",1.1464407682418822,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.349001301866931,3.2967987060546875,0.012964416993781924,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
644,True,1.0,"[3631, 1264]",2.112956237792969,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-11.015745533508117,5.238528728485107,0.013590290967840701,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
645,True,1.0,"[3631, 275]",1.136479091644287,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.862040826123811,2.2575535774230957,0.012384291039779782,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
646,True,1.0,"[3631, 2989]",0.6505426943302155,1.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-6.916482684809963,1.649042010307312,0.012225541984662414,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
647,True,1.0,"[3631, 180]",1.3017464399337768,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.893181366493945,2.6107044219970703,0.012668041978031397,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
651,True,1.0,"[3631, 1304]",0.53204185962677,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.204866191105552,0.5685491561889648,0.013940249977167696,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
653,True,1.0,"[3631, 1463]",0.5998469948768616,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-6.651716554900762,0.738014817237854,0.01260341698070988,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
656,True,1.0,"[3631, 200]",1.3666921138763428,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.889084265233619,4.334440231323242,0.013317957986146212,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
659,True,1.0,"[3631, 200]",1.079520869255066,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.0275101387081325,2.38411808013916,0.012999166967347264,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
