patient_idx,success,path_len,path,dijkstra_cost,cvr_events_original,decoded_cvr_hop,decoded_cvr_endpoint,decoded_violation_categories,kde,effort,latency_sec,dataset,seed,metric,constraints,lambda,cell
57,True,1.0,"[237, 19]",1.5638647079467773,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.79571039752037,1.2333449125289917,0.002094708033837378,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
0,True,1.0,"[237, 165]",0.018207913264632225,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.157059457035707,0.06330770999193192,0.002027499955147505,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
1,True,1.0,"[237, 88]",10.05383313819766,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.870593499206375,0.10865145176649094,0.002077208016999066,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
4,True,1.0,"[237, 70]",10.080199353396893,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.636620561497533,0.16512012481689453,0.002043666027020663,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
6,True,1.0,"[237, 194]",0.12993626296520233,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.495591171457234,0.29959017038345337,0.0019991250010207295,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
7,True,1.0,"[237, 181]",10.010556465014815,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.209691794058189,0.04719137027859688,0.002174207998905331,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
8,True,1.0,"[237, 91]",10.031755086034536,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.555488957002121,0.06016281992197037,0.002195082954131067,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
9,True,1.0,"[237, 194]",10.830491244792938,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.701115376775292,1.8476622104644775,0.0022561249788850546,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
11,True,1.0,"[237, 19]",10.834781289100647,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.898047124355345,1.7428693771362305,0.0021485420293174684,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
14,True,1.0,"[237, 70]",0.16358189284801483,0.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-7.608697822656296,0.3424997627735138,0.0021526250056922436,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
16,True,1.0,"[237, 50]",10.063274912536144,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.270942105708437,0.15881425142288208,0.0020565830054692924,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
20,True,1.0,"[237, 28]",10.05677392333746,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.489508006538868,0.11419540643692017,0.0020006250124424696,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
24,True,1.0,"[237, 56]",0.04595966637134552,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.7820534164934045,0.09594172239303589,0.0019905000226572156,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
28,True,1.0,"[237, 19]",20.09374436736107,1.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-7.621190292676918,0.2018737941980362,0.00196133297868073,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
30,True,1.0,"[237, 19]",0.014338991604745388,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.653480745801561,0.029338082298636436,0.0021113749826326966,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
32,True,1.0,"[237, 29]",14.424498081207275,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.698266251390608,7.047532081604004,0.002025625028181821,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
34,True,1.0,"[237, 71]",0.6344369649887085,0.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": true, ""directional"": true}",-7.564463995210781,1.3477435111999512,0.0021892919903621078,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
38,True,1.0,"[237, 70]",0.10229124873876572,0.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-7.623748232651146,0.2164475917816162,0.002010791969951242,uci,0,riemannian,soft,10.0,riemannian_soft_lam10.0
