dataset,seed,quantile,n_calib,feature,tau,misclass_rate,mae,band_type,decoder
uci,3,0.05,36,fasting_blood_sugar,,0.05555555555555555,0.2594968378543854,identity_rule_no_band,v3
uci,3,0.05,36,max_heart_rate,3.1950302124023438,,16.554344177246094,conformal_quantile,v3
uci,3,0.05,36,oldpeak,0.10162916779518127,,0.880749523639679,conformal_quantile,v3
uci,3,0.05,36,resting_bp,1.3288917541503906,,12.558513641357422,conformal_quantile,v3
uci,3,0.05,36,sex,,0.3611111111111111,0.4564034044742584,identity_rule_no_band,v3
uci,3,0.05,36,slope,,0.3888888888888889,0.5086960196495056,identity_rule_no_band,v3
uci,3,0.1,36,age,0.1943340301513672,,1.396005392074585,conformal_quantile,v3
uci,3,0.1,36,cholesterol,10.319686889648438,,39.56492614746094,conformal_quantile,v3
uci,3,0.1,36,exercise_angina,,0.3055555555555556,0.43693673610687256,identity_rule_no_band,v3
uci,3,0.1,36,fasting_blood_sugar,,0.05555555555555555,0.2594968378543854,identity_rule_no_band,v3
uci,3,0.1,36,max_heart_rate,3.5527496337890625,,16.554344177246094,conformal_quantile,v3
uci,3,0.1,36,oldpeak,0.15172791481018066,,0.880749523639679,conformal_quantile,v3
uci,3,0.1,36,resting_bp,2.6928024291992188,,12.558513641357422,conformal_quantile,v3
uci,3,0.1,36,sex,,0.3611111111111111,0.4564034044742584,identity_rule_no_band,v3
uci,3,0.1,36,slope,,0.3888888888888889,0.5086960196495056,identity_rule_no_band,v3
uci,3,0.25,36,age,0.4412498474121094,,1.396005392074585,conformal_quantile,v3
uci,3,0.25,36,cholesterol,19.387535095214844,,39.56492614746094,conformal_quantile,v3
uci,3,0.25,36,exercise_angina,,0.3055555555555556,0.43693673610687256,identity_rule_no_band,v3
uci,3,0.25,36,fasting_blood_sugar,,0.05555555555555555,0.2594968378543854,identity_rule_no_band,v3
uci,3,0.25,36,max_heart_rate,6.3488616943359375,,16.554344177246094,conformal_quantile,v3
uci,3,0.25,36,oldpeak,0.560003399848938,,0.880749523639679,conformal_quantile,v3
uci,3,0.25,36,resting_bp,4.326923370361328,,12.558513641357422,conformal_quantile,v3
uci,3,0.25,36,sex,,0.3611111111111111,0.4564034044742584,identity_rule_no_band,v3
uci,3,0.25,36,slope,,0.3888888888888889,0.5086960196495056,identity_rule_no_band,v3
uci,3,0.5,36,age,0.6626167297363281,,1.396005392074585,conformal_quantile,v3
uci,3,0.5,36,cholesterol,34.255096435546875,,39.56492614746094,conformal_quantile,v3
uci,3,0.5,36,exercise_angina,,0.3055555555555556,0.43693673610687256,identity_rule_no_band,v3
uci,3,0.5,36,fasting_blood_sugar,,0.05555555555555555,0.2594968378543854,identity_rule_no_band,v3
uci,3,0.5,36,max_heart_rate,13.369880676269531,,16.554344177246094,conformal_quantile,v3
uci,3,0.5,36,oldpeak,0.7626916170120239,,0.880749523639679,conformal_quantile,v3
uci,3,0.5,36,resting_bp,9.968097686767578,,12.558513641357422,conformal_quantile,v3
uci,3,0.5,36,sex,,0.3611111111111111,0.4564034044742584,identity_rule_no_band,v3
uci,3,0.5,36,slope,,0.3888888888888889,0.5086960196495056,identity_rule_no_band,v3
uci,3,0.8,36,age,1.971221923828125,,1.396005392074585,conformal_quantile,v3
uci,3,0.8,36,cholesterol,59.19575500488281,,39.56492614746094,conformal_quantile,v3
uci,3,0.8,36,exercise_angina,,0.3055555555555556,0.43693673610687256,identity_rule_no_band,v3
uci,3,0.8,36,fasting_blood_sugar,,0.05555555555555555,0.2594968378543854,identity_rule_no_band,v3
uci,3,0.8,36,max_heart_rate,26.119842529296875,,16.554344177246094,conformal_quantile,v3
uci,3,0.8,36,oldpeak,1.252709150314331,,0.880749523639679,conformal_quantile,v3
uci,3,0.8,36,resting_bp,21.729461669921875,,12.558513641357422,conformal_quantile,v3
uci,3,0.8,36,sex,,0.3611111111111111,0.4564034044742584,identity_rule_no_band,v3
uci,3,0.8,36,slope,,0.3888888888888889,0.5086960196495056,identity_rule_no_band,v3
uci,3,0.9,36,age,3.5255870819091797,,1.396005392074585,conformal_quantile,v3
uci,3,0.9,36,cholesterol,75.82655334472656,,39.56492614746094,conformal_quantile,v3
uci,3,0.9,36,exercise_angina,,0.3055555555555556,0.43693673610687256,identity_rule_no_band,v3
uci,3,0.9,36,fasting_blood_sugar,,0.05555555555555555,0.2594968378543854,identity_rule_no_band,v3
uci,3,0.9,36,max_heart_rate,29.557998657226562,,16.554344177246094,conformal_quantile,v3
uci,3,0.9,36,oldpeak,1.4582796096801758,,0.880749523639679,conformal_quantile,v3
uci,3,0.9,36,resting_bp,26.25049591064453,,12.558513641357422,conformal_quantile,v3
uci,3,0.9,36,sex,,0.3611111111111111,0.4564034044742584,identity_rule_no_band,v3
uci,3,0.9,36,slope,,0.3888888888888889,0.5086960196495056,identity_rule_no_band,v3
uci,3,0.99,36,age,6.548514366149902,,1.396005392074585,conformal_quantile,v3
uci,3,0.99,36,cholesterol,87.98757934570312,,39.56492614746094,conformal_quantile,v3
uci,3,0.99,36,exercise_angina,,0.3055555555555556,0.43693673610687256,identity_rule_no_band,v3
uci,3,0.99,36,fasting_blood_sugar,,0.05555555555555555,0.2594968378543854,identity_rule_no_band,v3
uci,3,0.99,36,max_heart_rate,50.05617904663086,,16.554344177246094,conformal_quantile,v3
uci,3,0.99,36,oldpeak,2.510263442993164,,0.880749523639679,conformal_quantile,v3
uci,3,0.99,36,resting_bp,40.18944549560547,,12.558513641357422,conformal_quantile,v3
uci,3,0.99,36,sex,,0.3611111111111111,0.4564034044742584,identity_rule_no_band,v3
uci,3,0.99,36,slope,,0.3888888888888889,0.5086960196495056,identity_rule_no_band,v3
uci,4,0.95,36,age,4.207053184509277,,1.7541732788085938,conformal_quantile,v3
uci,4,0.95,36,cholesterol,95.33486938476562,,41.235713958740234,conformal_quantile,v3
uci,4,0.95,36,exercise_angina,,0.4166666666666667,0.46656131744384766,identity_rule_no_band,v3
uci,4,0.95,36,fasting_blood_sugar,,0.19444444444444445,0.3109404742717743,identity_rule_no_band,v3
uci,4,0.95,36,max_heart_rate,33.962745666503906,,13.23210620880127,conformal_quantile,v3
uci,4,0.95,36,oldpeak,2.2481045722961426,,0.9238958358764648,conformal_quantile,v3
uci,4,0.95,36,resting_bp,40.2056999206543,,16.24143409729004,conformal_quantile,v3
uci,4,0.95,36,sex,,0.4166666666666667,0.4818824529647827,identity_rule_no_band,v3
uci,4,0.95,36,slope,,0.5,0.5534550547599792,identity_rule_no_band,v3
