dataset,seed,decoder,cell,tau_level,patient_idx,prune_mode,verify_mode,metric,repair_enabled,n_edges_pruned,n_edges_total,prune_seconds,graph_build_seconds,decode_seconds,success,abstained,abstain_stage,repair_status,latency_sec,n_steps_repaired,n_repair_attempts,repair_failure_reason,path,path_len,path_cost,decoded_cvr_hop,decoded_cvr_endpoint,viol_immutable,viol_non_decreasing,viol_age_horizon,viol_directional,kde,effort,repair_trigger_immutable,repair_trigger_non_decreasing,repair_trigger_age_horizon,repair_trigger_directional
nhanes_real,0,v3,old_latent_pruning,0.95,557,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009135209023952484,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,558,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009800084051676095,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,562,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009076541988179088,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,564,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009314917027950287,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,567,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.008987167035229504,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,568,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.008800458046607673,0.0,0.0,,"[3086, 964]",2.0,1.6264407634735107,True,True,False,False,False,True,-6.724978274082648,5.174776554107666,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,569,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009282125043682754,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,579,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009249625029042363,0.0,0.0,,"[3086, 1443]",2.0,1.9281140565872192,True,True,False,True,False,False,-6.856833845329595,5.84132194519043,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,580,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009195416001603007,0.0,0.0,,"[3086, 1443]",2.0,1.1258951425552368,True,True,False,False,False,True,-7.000152751746683,4.5106306076049805,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,582,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009174666949547827,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,585,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009599499986506999,0.0,0.0,,"[3086, 2089]",2.0,1.5192230939865112,True,True,False,True,False,False,-6.675947005272285,3.555816411972046,,,,
