dataset,seed,decoder,cell,tau_level,patient_idx,prune_mode,verify_mode,metric,repair_enabled,n_edges_pruned,n_edges_total,prune_seconds,graph_build_seconds,decode_seconds,success,abstained,abstain_stage,repair_status,latency_sec,repair_trigger_immutable,repair_trigger_non_decreasing,repair_trigger_age_horizon,repair_trigger_directional,n_steps_repaired,n_repair_attempts,repair_failure_reason,path,path_len,path_cost,decoded_cvr_hop,decoded_cvr_endpoint,viol_immutable,viol_non_decreasing,viol_age_horizon,viol_directional,kde,effort
nhanes_real,2,v3,dsr_full_euclidean,0.05,713,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,True,False,,clean,0.012314208899624646,,,,,0.0,0.0,,"[3086, 2692]",2.0,1.7233859300613403,False,False,False,False,False,False,-6.697042327106139,4.601806163787842
nhanes_real,2,v3,dsr_full_euclidean,0.05,714,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,False,True,search,,0.009936458081938326,,,,,,,,,,,,,,,,,,
nhanes_real,2,v3,dsr_full_euclidean,0.05,716,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,True,False,,clean,0.010278083034791052,,,,,0.0,0.0,,"[3086, 2201]",2.0,1.892855167388916,False,False,False,False,False,False,-9.158329061351438,5.983709335327148
nhanes_real,2,v3,dsr_full_euclidean,0.05,719,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,True,False,,clean,0.009585542022250593,,,,,0.0,0.0,,"[3086, 1230]",2.0,1.6506792306900024,False,False,False,False,False,False,-7.048382472012359,4.698620796203613
nhanes_real,2,v3,dsr_full_euclidean,0.05,721,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,False,True,search,,0.009837666992098093,,,,,,,,,,,,,,,,,,
nhanes_real,2,v3,dsr_full_euclidean,0.05,725,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,False,True,repair,failed,0.009891082998365164,False,True,False,True,0.0,3.0,"step 1 still violates after 3 repair iterations (triggered by {'immutable': False, 'non_decreasing': True, 'age_horizon': False, 'directional': True})",,,,,,,,,,,
nhanes_real,2,v3,dsr_full_euclidean,0.05,727,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,False,True,repair,failed,0.011092499946244061,False,True,False,False,0.0,3.0,"step 1 still violates after 3 repair iterations (triggered by {'immutable': False, 'non_decreasing': True, 'age_horizon': False, 'directional': False})",,,,,,,,,,,
nhanes_real,2,v3,dsr_full_euclidean,0.05,729,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,True,False,,clean,0.009164499933831394,,,,,0.0,0.0,,"[3086, 1002]",2.0,1.268127202987671,False,False,False,False,False,False,-6.715157620043545,4.495474815368652
nhanes_real,2,v3,dsr_full_euclidean,0.05,730,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,True,False,,clean,0.009851458016782999,,,,,0.0,0.0,,"[3086, 1340]",2.0,1.7468146085739136,False,False,False,False,False,False,-6.908211501232401,4.877788066864014
nhanes_real,2,v3,dsr_full_euclidean,0.05,731,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,True,False,,clean,0.010296583059243858,,,,,0.0,0.0,,"[3086, 1507]",2.0,1.770884394645691,False,False,False,False,False,False,-6.776078550508802,5.036086082458496
