success,budget,n_features_changed,latency_sec,effort,admissible,dataset,seed,patient_idx
False,,,0.014629374956712127,,,nhanes_real,0,502
True,1.0,1.0,0.0008780000498518348,1.125,True,nhanes_real,0,509
False,,,0.01460166706237942,,,nhanes_real,0,516
False,,,0.014563791919499636,,,nhanes_real,0,518
False,,,0.014523915946483612,,,nhanes_real,0,521
False,,,0.01454725000075996,,,nhanes_real,0,524
False,,,0.014590166974812746,,,nhanes_real,0,527
True,1.0,1.0,0.0009185420349240303,2.25,True,nhanes_real,0,529
True,1.0,1.0,0.0008758329786360264,1.4999998807907104,True,nhanes_real,0,530
True,1.0,1.0,0.0008356670150533319,2.25,True,nhanes_real,0,531
False,,,0.014558291994035244,,,nhanes_real,0,535
True,2.0,2.0,0.0011933339992538095,2.749999761581421,True,nhanes_real,0,536
True,1.0,1.0,0.0008092500502243638,2.25,True,nhanes_real,0,537
True,1.0,1.0,0.0007728340569883585,0.75,True,nhanes_real,0,544
False,,,0.014761917060241103,,,nhanes_real,0,549
True,1.0,1.0,0.0008416669443249702,1.5,True,nhanes_real,0,550
True,4.0,4.0,0.008878416963852942,12.0,True,nhanes_real,0,555
False,,,0.014560124953277409,,,nhanes_real,0,556
True,2.0,2.0,0.0012526670470833778,5.625,True,nhanes_real,0,557
False,,,0.014613291947171092,,,nhanes_real,0,558
False,,,0.014743875013664365,,,nhanes_real,0,562
False,,,0.014576541958376765,,,nhanes_real,0,564
False,,,0.014681166969239712,,,nhanes_real,0,567
True,2.0,2.0,0.0012824999867007136,6.0,True,nhanes_real,0,568
False,,,0.014604917028918862,,,nhanes_real,0,569
True,1.0,1.0,0.0008632910903543234,2.25,True,nhanes_real,0,579
True,2.0,2.0,0.0012494169641286135,6.0,True,nhanes_real,0,580
False,,,0.014518125099129975,,,nhanes_real,0,582
True,2.0,2.0,0.001326582976616919,5.25,True,nhanes_real,0,585
True,1.0,1.0,0.0008552500512450933,1.125,True,nhanes_real,0,586
False,,,0.014641957939602435,,,nhanes_real,0,587
False,,,0.014547624974511564,,,nhanes_real,0,590
False,,,0.014488333952613175,,,nhanes_real,0,594
False,,,0.014584542019292712,,,nhanes_real,0,599
True,4.0,4.0,0.008935417048633099,13.5,True,nhanes_real,0,600
False,,,0.014538916992023587,,,nhanes_real,0,601
True,1.0,1.0,0.0008623340399935842,2.25,True,nhanes_real,0,602
True,1.0,1.0,0.0008582919836044312,0.375,True,nhanes_real,0,603
False,,,0.014598290901631117,,,nhanes_real,0,605
True,2.0,2.0,0.0012272499734535813,3.0,True,nhanes_real,0,607
True,2.0,2.0,0.001191957970149815,6.0,True,nhanes_real,0,613
True,1.0,1.0,0.0008055421058088541,0.75,True,nhanes_real,0,614
True,1.0,1.0,0.0007954160682857037,2.25,True,nhanes_real,0,616
True,4.0,4.0,0.008859124965965748,12.0,True,nhanes_real,0,618
True,2.0,2.0,0.0012246669502928853,5.25,True,nhanes_real,0,620
True,1.0,1.0,0.0008159580174833536,2.25,True,nhanes_real,0,621
True,2.0,2.0,0.0012145410291850567,3.25,True,nhanes_real,0,624
True,1.0,1.0,0.0008045419817790389,1.5,True,nhanes_real,0,627
False,,,0.014582791947759688,,,nhanes_real,0,628
True,1.0,1.0,0.0008223329205065966,2.25,True,nhanes_real,0,629
False,,,0.01458891702350229,,,nhanes_real,0,630
True,2.0,2.0,0.0012305829441174865,6.0,True,nhanes_real,0,631
False,,,0.014642416965216398,,,nhanes_real,0,633
True,2.0,2.0,0.0012010419741272926,6.0,True,nhanes_real,0,634
True,4.0,4.0,0.008779541007243097,11.0,True,nhanes_real,0,635
True,1.0,1.0,0.0008604999165982008,1.5,True,nhanes_real,0,637
False,,,0.014545624959282577,,,nhanes_real,0,642
False,,,0.014480792102403939,,,nhanes_real,0,643
False,,,0.014493708033114672,,,nhanes_real,0,644
False,,,0.014506124891340733,,,nhanes_real,0,647
False,,,0.02123595797456801,,,nhanes_real,0,655
False,,,0.015212374972179532,,,nhanes_real,0,660
True,2.0,2.0,0.0017173340311273932,2.75,True,nhanes_real,0,662
True,4.0,4.0,0.010589292040094733,11.0,True,nhanes_real,0,664
False,,,0.015680375043302774,,,nhanes_real,0,665
False,,,0.015395584050565958,,,nhanes_real,0,668
True,1.0,1.0,0.001142999972216785,1.5,True,nhanes_real,0,671
True,1.0,1.0,0.0008676249999552965,4.5,True,nhanes_real,0,672
True,1.0,1.0,0.0008157499833032489,2.25,True,nhanes_real,0,679
False,,,0.015181832946836948,,,nhanes_real,0,684
False,,,0.01668804103974253,,,nhanes_real,0,687
False,,,0.016159749939106405,,,nhanes_real,0,690
True,2.0,2.0,0.001662416965700686,5.25,True,nhanes_real,0,694
True,2.0,2.0,0.0013889999827370048,4.5,True,nhanes_real,0,695
True,4.0,4.0,0.009770374977961183,12.75,True,nhanes_real,0,698
True,2.0,2.0,0.0013462500646710396,6.0,True,nhanes_real,0,699
True,2.0,2.0,0.001323375036008656,5.625,True,nhanes_real,0,700
False,,,0.01602499990258366,,,nhanes_real,0,703
False,,,0.016168625093996525,,,nhanes_real,0,705
False,,,0.01620295795146376,,,nhanes_real,0,707
False,,,0.016026291996240616,,,nhanes_real,0,708
True,1.0,1.0,0.001155667006969452,0.75,True,nhanes_real,0,710
True,2.0,2.0,0.0013748749624937773,6.749999523162842,True,nhanes_real,0,711
False,,,0.027482584002427757,,,nhanes_real,0,712
